Grand Prix,Timestamp,Driver Code,Driver Name,Speaker,Message
Australian,14:53,BEA,Bearman,Bearman,AUDIO ONLY .
Australian,14:53,PIA,Piastri,Piastri,AUDIO ONLY .
Australian,15:05,RUS,Russell,PIT,"Well, it's 2 % shallow. It was a throttle pedal you backed up at a high RPM."
Australian,15:11,VER,Verstappen,Verstappen,"Also again, the dumping failed for sure. Spasiboodee!"
Australian,15:16,NOR,Norris,PIT,How's the tyres? How's the pulse? 30 already. Much faster than the GTTS.
Australian,15:17,PIA,Piastri,PIT,"How's the tide? Currently we are thinking plan A, target level. I feel good."
Australian,15:18,VER,Verstappen,Verstappen,"Please do something about this shit, and don't tell me it's me 15 later. Absolutely."
Australian,15:18,HAM,Hamilton,Hamilton,Actually pretty slow .
Australian,15:26,VER,Verstappen,PIT,"Well, that was quite special, I don't want to blame it up once again moving on the breaking I mean sorry section, but it's not right ."
Australian,15:39,PIA,Piastri,PIT,"We're aiming at planet A, target that. How's the time? Oh, it doesn't feel great."
Australian,15:40,LEC,Leclerc,Leclerc,"Well, it's quite a bit of time ."
Australian,15:45,NOR,Norris,PIT,"Okay mate, let's get back in the rhythm, know what you've been trying to do, can we see it? Back in the rhythm please."
Australian,15:48,NOR,Norris,PIT,"Hamilton's got me stuck behind the jar, and they thought it'd be a cool exit for us to... I need to get fast, come on, let's do something, please. I know, mate. I know. Staff is gonna close in. I want boxes left."
Australian,15:49,NOR,Norris,Norris,You mean you won't let me? I'm Biles' master.
Australian,15:50,NOR,Norris,Norris,I'll pull out a 10 -6 if it works on this one.
Australian,15:53,HAM,Hamilton,Hamilton,I'm gonna be in trouble in the districts. Now we are fighting for the position with Max then we manage the ties .
Australian,15:57,PIA,Piastri,Piastri,"Hey, don't you guys f***ing think we're lost?"
Australian,15:58,PIA,Piastri,Piastri,"Get out of the f***ing way, you idiots! Oh my god."
Australian,16:01,PIA,Piastri,PIT,"After that sight that's crossed us, that target is to get to the end on this tyre. Oh mate, it's better you don't **** me now. Nice of you guys to affect the other one here by the way, thanks."
Australian,16:04,NOR,Norris,PIT,"We're catching ants early night and quickly, that's just been measured when we get there."
Australian,16:12,ANT,Antonelli,PIT,"Again, a little bit of security, just keep the 3, turn 7, get tight again."
Australian,16:13,LEC,Leclerc,Leclerc,"Can you notice me before there's something that feels off the ground? Copy. Looks like overheating, if you can get back into the rhythm, should help. I'm in rhythm."
Australian,16:14,VER,Verstappen,PIT,This is good Max. You got it. You might have some fun towards the end.
Australian,16:19,ANT,Antonelli,Antonelli,"But can't we go until yet? We don't think we have the tire light so press hold boost, press hold boost ."
Australian,16:19,NOR,Norris,PIT,"Vlade, you're clearly the fastest car and have nothing to prove, so the snaps of 4 and 8, no more."
Australian,16:21,ANT,Antonelli,Antonelli,"Wind pollution out of wind. So probably P6 potential, but P2 here Kimmy, we've got a big offset on tyres."
Australian,16:25,ANT,Antonelli,PIT,"But I think I was ahead yeah, we're just talking through we think we were ."
Australian,16:38,NOR,Norris,PIT,No exit curve. That may be what happened to Oscar's car.
Australian,16:40,HAM,Hamilton,PIT,And we got five second penalty for speeding into the pit lane. I handed out penalties like crazy.
Australian,16:43,NOR,Norris,Norris,"Well done, mate. Well done. Beautiful! The car was unbelievable today. Well done, guys. Incredible. Flying, thank you so much for the car. Nice to finally be able to do it all for you again. Feels like it's been a while. Congrats, very well deserved. Hard work pays off. Just keep it going. Thank you very much. I love you all."
Australian,16:45,VER,Verstappen,PIT,"That is an excellent drive Max, really, really, really spot on. I'd like to be a C -Sprog to your showpiece finale, but nonetheless, I'm going to be proud of that final sit. That's a great move there as well, so fantastic job. Yeah, we had a second today in some way or another. Great job. Well, it's been quite a lot out there, so..."
