clip_id,gp,session,driver_code,driver_name,speaker,text,is_audio_only,human_label,human_label_intensity,audio_model_label,text_model_label,lap_number,lap_is_ambiguous,audio_url
ANT_12_20260523_121237,Canadian Grand Prix,Sprint,ANT,Antonelli,engineer,"Can we concentrate on the driving, please, and not on the radio morning?",False,frustrated,3,,,1.0,True,https://d1bntksftjpew6.cloudfront.net/v1/audio/2026/Canadian Grand Prix/Sprint/ANT_12_20260523_121237.mp3
GAS_10_20260523_162550,Canadian Grand Prix,Qualifying,GAS,Gasly,engineer,"I think the only thing we can do to improve on the process here, mate, is changing the strap 2 before 10 .13, just before braking, as late as you can push it. It's very easy, mate, to say, but that small tweak does help us. Probably in the top half of this, so let me know if I can. Yeah, I know, it's tricky, mate, but what I'd say so far is doing a great job.",False,neutral,3,,,8.0,False,https://d1bntksftjpew6.cloudfront.net/v1/audio/2026/Canadian Grand Prix/Qualifying/GAS_10_20260523_162550.mp3
LEC_16_20260523_164217,Canadian Grand Prix,Qualifying,LEC,Leclerc,engineer,"And we are through, so you are P -8? I'm completely out of place, completely out of thing, he's either in the wall or P -8 We just need to make sure, give me clean air, I don't care about whatever else, just clean air, that's all that matters Understood Charles",False,dejected,4,,,1.0,True,https://d1bntksftjpew6.cloudfront.net/v1/audio/2026/Canadian Grand Prix/Qualifying/LEC_16_20260523_164217.mp3
LAW_30_20260523_164326,Canadian Grand Prix,Qualifying,LAW,Lawson,engineer,"Oh, man, sorry, that was honestly so, so badly driven.",False,dejected,4,,,1.0,True,https://d1bntksftjpew6.cloudfront.net/v1/audio/2026/Canadian Grand Prix/Qualifying/LAW_30_20260523_164326.mp3
VER_3_20260523_165322,Canadian Grand Prix,Qualifying,VER,Verstappen,driver,What's going on with this straight line speed because it's bleeding,False,frustrated,4,,,1.0,True,https://d1bntksftjpew6.cloudfront.net/v1/audio/2026/Canadian Grand Prix/Qualifying/VER_3_20260523_165322.mp3
RUS_63_20260523_170207,Canadian Grand Prix,Qualifying,RUS,Russell,driver,It's the most exhilarating feeling in the world when it comes last -minute out of nowhere. Good job,False,happy,4,,,1.0,True,https://d1bntksftjpew6.cloudfront.net/v1/audio/2026/Canadian Grand Prix/Qualifying/RUS_63_20260523_170207.mp3
NOR_1_20260523_170634,Canadian Grand Prix,Qualifying,NOR,Norris,engineer,"It's going to be 3 again. Yeah, all good. The love wasn't amazing, but I heard all the dirt from Hamilton and then those slipstreams, so here's what it is.",False,dejected,1,,,1.0,True,https://d1bntksftjpew6.cloudfront.net/v1/audio/2026/Canadian Grand Prix/Qualifying/NOR_1_20260523_170634.mp3
BOR_5_20260524_111056,Canadian Grand Prix,Race,BOR,Bortoleto,engineer,"Yeah, keep the pressure on. You're doing a good job. Keep the pressure.",False,happy,2,,,1.0,True,https://d1bntksftjpew6.cloudfront.net/v1/audio/2026/Canadian Grand Prix/Race/BOR_5_20260524_111056.mp3
NOR_1_20260524_124627,Canadian Grand Prix,Race,NOR,Norris,engineer,"That's not the way, mate. That's not the way. You now need to keep it cool. Reset.",False,dejected,3,,,1.0,True,https://d1bntksftjpew6.cloudfront.net/v1/audio/2026/Canadian Grand Prix/Race/NOR_1_20260524_124627.mp3
HAM_44_20260524_162056,Canadian Grand Prix,Race,HAM,Hamilton,driver,I got no power man. Come on guys,False,frustrated,5,,,1.0,True,https://d1bntksftjpew6.cloudfront.net/v1/audio/2026/Canadian Grand Prix/Race/HAM_44_20260524_162056.mp3
