msg_time,driver_code,driver_name,speaker,is_audio_only,text,gp,suspect
14:53,BEA,Bearman,driver,True,AUDIO ONLY,Australian,False
14:53,PIA,Piastri,driver,True,AUDIO ONLY,Australian,False
15:05,RUS,Russell,engineer,False,"Well, it's 2 % shallow. It was a throttle pedal you backed up at a high RPM.",Australian,False
15:11,VER,Verstappen,driver,False,"Also again, the dumping failed for sure. Spasiboodee!",Australian,False
15:16,NOR,Norris,engineer,False,How's the tyres? How's the pulse? 30 already. Much faster than the GTTS.,Australian,False
15:17,PIA,Piastri,engineer,False,"How's the tide? Currently we are thinking plan A, target level. I feel good.",Australian,False
15:18,VER,Verstappen,driver,False,"Please do something about this shit, and don't tell me it's me 15 later. Absolutely.",Australian,False
15:18,HAM,Hamilton,driver,False,Actually pretty slow,Australian,False
15:26,VER,Verstappen,engineer,False,"Well, that was quite special, I don't want to blame it up once again moving on the breaking I mean sorry section, but it's not right",Australian,False
15:39,PIA,Piastri,engineer,False,"We're aiming at planet A, target that. How's the time? Oh, it doesn't feel great.",Australian,False
15:40,LEC,Leclerc,driver,False,"Well, it's quite a bit of time",Australian,False
15:45,NOR,Norris,engineer,False,"Okay mate, let's get back in the rhythm, know what you've been trying to do, can we see it? Back in the rhythm please.",Australian,False
15:48,NOR,Norris,engineer,False,"Hamilton's got me stuck behind the jar, and they thought it'd be a cool exit for us to... I need to get fast, come on, let's do something, please. I know, mate. I know. Staff is gonna close in. I want boxes left.",Australian,False
15:49,NOR,Norris,driver,False,You mean you won't let me? I'm Biles' master.,Australian,False
15:50,NOR,Norris,driver,False,I'll pull out a 10 -6 if it works on this one.,Australian,False
15:53,HAM,Hamilton,driver,False,I'm gonna be in trouble in the districts. Now we are fighting for the position with Max then we manage the ties,Australian,False
15:57,PIA,Piastri,driver,False,"Hey, don't you guys f***ing think we're lost?",Australian,False
15:58,PIA,Piastri,driver,False,"Get out of the f***ing way, you idiots! Oh my god.",Australian,False
16:01,PIA,Piastri,engineer,False,"After that sight that's crossed us, that target is to get to the end on this tyre. Oh mate, it's better you don't **** me now. Nice of you guys to affect the other one here by the way, thanks.",Australian,False
16:04,NOR,Norris,engineer,False,"We're catching ants early night and quickly, that's just been measured when we get there.",Australian,False
16:12,ANT,Antonelli,engineer,False,"Again, a little bit of security, just keep the 3, turn 7, get tight again.",Australian,False
16:13,LEC,Leclerc,driver,False,"Can you notice me before there's something that feels off the ground? Copy. Looks like overheating, if you can get back into the rhythm, should help. I'm in rhythm.",Australian,False
16:14,VER,Verstappen,engineer,False,This is good Max. You got it. You might have some fun towards the end.,Australian,False
16:19,ANT,Antonelli,driver,False,"But can't we go until yet? We don't think we have the tire light so press hold boost, press hold boost",Australian,False
16:19,NOR,Norris,engineer,False,"Vlade, you're clearly the fastest car and have nothing to prove, so the snaps of 4 and 8, no more.",Australian,False
16:21,ANT,Antonelli,driver,False,"Wind pollution out of wind. So probably P6 potential, but P2 here Kimmy, we've got a big offset on tyres.",Australian,False
16:25,ANT,Antonelli,engineer,False,"But I think I was ahead yeah, we're just talking through we think we were",Australian,False
16:38,NOR,Norris,engineer,False,No exit curve. That may be what happened to Oscar's car.,Australian,False
16:40,HAM,Hamilton,engineer,False,And we got five second penalty for speeding into the pit lane. I handed out penalties like crazy.,Australian,False
16:43,NOR,Norris,driver,False,"Well done, mate. Well done. Beautiful! The car was unbelievable today. Well done, guys. Incredible. Flying, thank you so much for the car. Nice to finally be able to do it all for you again. Feels like it's been a while. Congrats, very well deserved. Hard work pays off. Just keep it going. Thank you very much. I love you all.",Australian,False
16:45,VER,Verstappen,engineer,False,"That is an excellent drive Max, really, really, really spot on. I'd like to be a C -Sprog to your showpiece finale, but nonetheless, I'm going to be proud of that final sit. That's a great move there as well, so fantastic job. Yeah, we had a second today in some way or another. Great job. Well, it's been quite a lot out there, so...",Australian,False
16:47,NOR,Norris,driver,False,"And Lando, Barnsey put it on your piece of tape. One who's laughing. I only did it for him. Thanks Barnsey for everything. Beautiful career. I did it on a high. Thank you very much for everything.",Australian,True
16:48,COL,Colapinto,driver,False,"Choking pace, oh so slow",Australian,False
16:48,OCO,Ocon,engineer,False,"Thank you Laura. Yeah, positive weekend, it's a lot of good stuff, even if the race was very difficult, not as good as we would have liked, it's take the positive for you guys and we'll come back stronger after the break.",Australian,False
16:49,LAW,Lawson,driver,False,"It was pretty tough, good, really good job. Very good call on the strategy as well. Had me doubting it in the car, but very, very good job. Thank you. Car was so good. We wanted to keep you active, you know? We didn't want you to fall asleep. I literally said I don't want to overtake cars at the end of the race, and that's what you had me do. But you see, you could do it.",Australian,False
16:50,ANT,Antonelli,engineer,False,"Nice work Kimi. P3 buff, not a bad day. That was tough. Yeah, copy that, you earned your money today mate. Thanks everyone. It was a damage limitation after yesterday. So thank you everyone.",Australian,False
15:55,COL,Colapinto,driver,True,AUDIO ONLY,Australian,False
